long,lat
14.32,45.95
-162.22,65.18
-162.27,65.2
-162.23,65.07
-107.82,37
-109.95,34.5
-106.38,35.08
-108.12,37.38
171.8,-42.38
171.57,-42.9
173.55,-35.68
-90.2,37.72
-93.58,41.28
-93.7,41.72
-91.13,42.63
-121.83,46.63
31.3,62.98
-86.1,37.18
-94.03,35.63
-94.32,35.7
-109.92,32.7
-114.17,38.88
-120.17,48.58
-112.35,45.83
-115.63,39.28
-111.8,46.72
-118.08,52.9
-110.23,45.72
-118.43,41.3
-4.93,40.43
-2.13,40.87
-94.08,47.77
-121.4,48.05
-109.52,45.17
-122.03,41.17
-110.67,44.98
-122.52,41.33
-90.9,48.23
-120.37,48.17
-111.82,34.88
-111.75,35.27
-105.63,38.1
-105.13,39.45
-108.02,32.93
-115.53,40.23
-109.88,32.68
-105.67,40.4
-105.25,40.37
-105.47,37.72
-112.07,37.5
-112.1,37.47
-105.58,40.07
-105,39
-109.95,40.62
5.58,50.63
-71.6,-37.35
-120.6,40.15
-71.13,-40.72
-71.25,-38.87
-119.87,43.13
-73.03,-37.83
-121.8,41.72
-118.93,44.9
150.25,69.45
75.47,34.65
-142.02,62.08
94.88,49.37
-103.87,64.03
-149.17,60.82
-138.33,65
-149.47,60.12
5.35,53.4
5.68,50.85
-134.02,58.47
-122.08,46.35
-134.02,58.47
-134.02,58.43
-80.38,37.25
-118.75,36.55
-119.23,37.92
-119.37,37.87
-118.55,44.7
-119.23,37.85
-119.85,37.75
-119.8,37.77
-119.67,37.55
135.73,35.33
82.05,29.28
83.4,28.45
85.25,27.4
84.1,28.48
86.28,27.43
86.17,27.42
82.02,29.3
86,27.5
87.1,27.42
87.12,27.43
29.92,36.67
29.92,36.67
32.3,41.2
147.27,-43.37
145.93,-41.63
175.83,-37.5
-71.7,-43.18
4,46.25
18.7,59.2
-149.85,67.53
-149.82,67.57
-145.33,65.5
-163.7,64.82
-148.67,63.9
-114.2,49.58
6.18,51.28
5.72,52
-103.43,44.33
-118.43,41.3
-97.05,43.85
-103.88,43.5
15.73,67.62
26.82,67.22
30.97,62.77
28.98,61.93
29.63,63.1
28.82,61.87
28,68.53
-71.7,42.67
-1.62,53.32
9.05,45.27
9.28,45.57
171.72,-43.12
170.98,-43.08
171.68,-43.1
169.78,-43.87
171.7,-43.08
171.72,-43.05
10.8,44.28
175.63,-38.65
-119.05,51.03
-122.33,43
-123.52,47.83
-120.63,48.68
-121,47.83
-121.5,46.17
-123.48,47.85
-123.48,47.85
-121.67,45.33
-121.67,45.33
-121.75,46.83
-117.3,34.22
-121.67,43.83
-8.38,54.75
-7.9,52.13
1.5,47.57
2.57,49.23
-3.03,42.03
-2.85,42
-71.75,-45.92
-106.37,38.1
15.55,50.75
-110.53,36.68
10.7,44.12
15.05,37.78
87.58,50.42
118.58,71.7
8,48.57
-110.08,62.17
7.63,46.33
133.78,63.65
-77.83,55.33
154.93,65.1
7.83,46.28
-5.6,40.27
-129.92,59.08
7.18,46.12
51.95,66.88
-93.48,58.67
-77.85,52.03
8.02,47.85
2.07,42.6
-1.68,50.95
19.47,65.17
-149.58,61.33
89.5,70.52
-3.58,57
7.22,47.32
7.68,48.08
21.22,39.8
-137.17,60.42
137.75,62.47
72.65,65.5
22.33,37.08
42.5,64.92
29.58,60.27
2.38,42.45
82.3,66.68
15.3,47.78
64.65,65.32
75.33,63.13
51.38,60.7
119.12,69.78
90.5,69.58
21.67,38.72
42.5,64.92
42.5,64.92
32.9,34.9
8.03,46.37
149.43,65.15
7.43,47.15
7.43,47.15
8.03,47.85
69.28,66.82
7.98,47.83
7.43,46.4
-121.25,51.88
11.28,47.13
19.67,68.23
32.87,34.93
32.87,34.93
118.83,56.83
85.37,50.15
87.68,50.5
-116.17,51.17
7.08,47.98
32.58,35.08
122.33,66.52
5,43.35
82.33,66.6
82.33,66.6
60,64.67
-121.53,42.63
-97.17,49.72
-81.8,31.62
-96.38,36.7
-92.82,36.68
-92.25,36.07
-92.9,35.83
-90.95,35.85
-95.95,37.58
-121.1,38.77
-93.5,34.52
-83.92,35.35
-92.93,34.8
-92.12,38.5
-92.5,34.83
-82.32,31.93
-95.08,33.73
-121.18,36.47
-93.33,38.03
-96.07,31.97
-99.78,21.68
-91.5,38.65
-88.08,36.8
-95.22,47.22
-102.62,28.93
-106.18,37.07
-103.23,29.27
-105.75,32.93
-109.43,35.87
-106.08,41.1
-106.85,42.35
-106.85,42.37
-70.05,44.47
-105.47,36.73
-105.13,39.37
-105.13,38.07
6.68,45.22
6.68,45.22
-94.48,35.98
-116.82,34.12
-71.28,-40.05
-71.15,-41.08
-71.3,-39.08
-71.9,-41.25
-71.12,-39.12
-71.8,-41.12
-71.43,-40.12
-71.8,-41.1
-71.77,-41.83
-73.83,-42.5
-111.32,45.3
18.55,54.3
16.8,52.27
-89.67,46.03
-117.47,45.68
-145.67,60.6
-150.08,67.15
12.62,48.92
-108.35,38.67
-106.13,40.07
-105.2,39.68
-108.97,40.78
-107.22,38.53
-103.27,37.07
-107.32,38.53
110.08,34.48
171.8,-42.38
172.6,-41.27
176.12,-39.62
174.12,-39.32
-0.12,41.02
-123.47,48.53
100.33,38.17
-105.83,40.55
35.7,32.65
34.5,37
-117.52,51.25
-117.17,49.73
-121.68,48.87
36.2,35.57
36.03,34.23
16.08,60.13
18.48,62.33
-94,50.32
-91.13,49.12
-93.9,49.07
-91.17,48.72
-90.75,48.38
-95.35,49.2
-94.15,49.18
-92.05,16.4
-145.4,60.63
8.82,46.55
9.2,46.62
-82.72,29.02
-82.27,28.92
-72.86,44.45
-72.85,44.45
-93.47,58.53
-93.03,57.32
11.25,47.43
-120,34.74
-119.24,34.92
-121.78,37.4
-114.37,62.48
-114.3,62.47
22.75,55.08
23.43,54.82
123.3497998,66.76180044
-118.7833001,61.1
-65.36669986,-34
-113.3666999,48.51669986
-115.42,41.9
-118.33,37.87
-119.87,43.13
-112.67,37.65
-121.4,48.05
-110.13,44.37
